vaid,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Crown the City,K-Raze,hip-hop,confident,0.88,95,0.72,0.85,0.08
12,Still Water Suite,Elara Quinn,classical,peaceful,0.22,64,0.58,0.28,0.97
13,Velvet Nights,Sable & June,r&b,romantic,0.55,88,0.76,0.70,0.42
14,Dust and Honey,The Ridgeline,country,nostalgic,0.48,96,0.63,0.58,0.74
15,Shatter the Glass,Iron Wraith,metal,angry,0.97,168,0.28,0.50,0.04
16,River Road Lullaby,Clara Moss,folk,melancholic,0.31,74,0.39,0.44,0.91
17,Signal Drop,Phase Vector,electronic,euphoric,0.94,140,0.88,0.93,0.03
18,Broken Neon Sign,Hound & Sorrow,blues,sad,0.44,70,0.30,0.46,0.68
